sent_id,sentence,sentence_en,correct_word,mutation_type,trigger_type,incorrect_word,incorrect_sentence
cy_ccg_train:00035,Yn sicr mae gwledydd eraill yn fwy awyddus i gael cytundeb gyda'r UE na gyda Phrydain gan fod e yn farchnad llawer mwy nag un Prydain.,Certainly other countries are more keen to reach an agreement with the EU than with Britain as it is a much larger market than Britain.,gael,SM,L,cael,Yn sicr mae gwledydd eraill yn fwy awyddus i cael cytundeb gyda'r UE na gyda Phrydain gan fod e yn farchnad llawer mwy nag un Prydain.
cy_ccg_train:00314,"Daeth y statws hwnnw i ben ganol y bore, gyda'r heddlu'n dweud eu bod nhw'n ""barod i ymateb i unrhyw lifogydd"" ac yn rhybuddio pobl unwaith eto i beidio â gyrru i mewn i ddŵr llonydd.","That status came to an end mid-morning, with police saying they were ""ready to respond to any floods"" and warning people again not to drive into still water.",bod,no_mutation,no_mutation,fod,"Daeth y statws hwnnw i ben ganol y bore, gyda'r heddlu'n dweud eu fod nhw'n ""barod i ymateb i unrhyw lifogydd"" ac yn rhybuddio pobl unwaith eto i beidio â gyrru i mewn i ddŵr llonydd."
cy_ccg_test:00685,"Roedd ychydig filoedd yn bresennol yn y digwyddiad a gafodd ei drefnu gan fudiad Pawb Dan Un Faner, ond lle'r oedd nifer o fudiadau annibyniaeth eraill wedi cael eu cynrychioli.","A few thousand people attended the event organized by the Everybody Under One Flag organization, but where a number of other independence organizations were represented.",filoedd,SM,L,miloedd,"Roedd ychydig miloedd yn bresennol yn y digwyddiad a gafodd ei drefnu gan fudiad Pawb Dan Un Faner, ond lle'r oedd nifer o fudiadau annibyniaeth eraill wedi cael eu cynrychioli."
cy_ccg_train:00561,"Byddwn i'n dweud bod agwedd tuag at y Gymraeg yn mynd yn bell iawn, er bod y peth ar y wyneb yn ffars.","I would say that an attitude towards the Welsh language goes a long way, even though on the surface it is a farce.",Gymraeg,SM,MS,Cymraeg,"Byddwn i'n dweud bod agwedd tuag at y Cymraeg yn mynd yn bell iawn, er bod y peth ar y wyneb yn ffars."
cy_ccg_train:01353,"Yn seiliedig ar fodel iaith mawr, mae'n galluogi defnyddwyr i fireinio a llywio sgwrs yn unol â'r hyd, fformat, arddull, lefel manylder ac iaith a ddymunir.",,fodel,SM,L,model,"Yn seiliedig ar model iaith mawr, mae'n galluogi defnyddwyr i fireinio a llywio sgwrs yn unol â'r hyd, fformat, arddull, lefel manylder ac iaith a ddymunir."
cy_ccg_train:01113,"Dechreuodd Mihangel y ddeiseb pum mis yn ôl ac er ei fod heb atynnu llawer o lofnodion pryd hynny, mae'r ddeiseb wedi cyrraedd 1,000 o lofnodion erbyn hyn.",,ddeiseb,SM,MS,deiseb,"Dechreuodd Mihangel y ddeiseb pum mis yn ôl ac er ei fod heb atynnu llawer o lofnodion pryd hynny, mae'r deiseb wedi cyrraedd 1,000 o lofnodion erbyn hyn."
cy_ccg_test:00389,Ar ddechrau'r 1970au dechreuodd Cymdeithas yr Iaith ymgyrchu dros wasanaeth darlledu radio a theledu Cymraeg.,In the early 1970s Cymdeithas yr Iaith started campaigning for a Welsh language radio and television broadcasting service.,wasanaeth,SM,L,gwasanaeth,Ar ddechrau'r 1970au dechreuodd Cymdeithas yr Iaith ymgyrchu dros gwasanaeth darlledu radio a theledu Cymraeg.
cy_ccg_dev:00314,"Fel llywodraeth gyfrifol, rydym wedi paratoi ar gyfer ymadawiad y DU â'r UE, gan gymryd camau i ddiogelu buddiannau Cymru a'i phobl.","As a responsible government, we have prepared for the UK's departure from the EU, taking steps to protect the interests of Wales and its people.",gymryd,SM,L,cymryd,"Fel llywodraeth gyfrifol, rydym wedi paratoi ar gyfer ymadawiad y DU â'r UE, gan cymryd camau i ddiogelu buddiannau Cymru a'i phobl."
cy_ccg_train:00511,Cyfarfu â hen gariad yn y dre.,He met an old lover in town.,gariad,SM,MS,cariad,Cyfarfu â hen cariad yn y dre.
cy_ccg_train:00886,Byddan nhw'n cyflwyno brecwast cyflym i chi cyn i chi lanio.,They will deliver you a quick breakfast before you land.,lanio,SM,MS,glanio,Byddan nhw'n cyflwyno brecwast cyflym i chi cyn i chi glanio.
cy_ccg_dev:00406,"Mae ymgyrch wedi bod i ehangu addysg Gymraeg yn y dref ers hanner canrif, a gyda'r ymgynghori wedi dod i ben ddiwedd mis Ionawr, dyma'r agosaf, yn ôl ymgyrchwyr, maen nhw wedi dod at wireddu'r nod.","There has been a campaign to expand Welsh-medium education in the town for half a century, and with the consultation closed at the end of January, it is the closest that, according to campaigners, they have come to achieve the goal.",dref,SM,MS,tref,"Mae ymgyrch wedi bod i ehangu addysg Gymraeg yn y tref ers hanner canrif, a gyda'r ymgynghori wedi dod i ben ddiwedd mis Ionawr, dyma'r agosaf, yn ôl ymgyrchwyr, maen nhw wedi dod at wireddu'r nod."
cy_ccg_train:00592,Mae'n rhaid mynd drwy'r drefn gywir gan fod yr adeilad yn rhestredig.,You have to go through the correct procedure as the building is listed.,fod,SM,L,bod,Mae'n rhaid mynd drwy'r drefn gywir gan bod yr adeilad yn rhestredig.
cy_ccg_dev:00052,"Chwerthin trwy'r amserau, coginio fel fflat i gael bwyd gyda'n gilydd, mynd allan bob nos tan oriau cynnar y bore.","Laughing all the times, cooking like a flat for food together, going out every night until the early hours of the morning.",bob,SM,MS,pob,"Chwerthin trwy'r amserau, coginio fel fflat i gael bwyd gyda'n gilydd, mynd allan pob nos tan oriau cynnar y bore."
cy_ccg_train:00644,Oes yna rywun yn dy boeni?,Is there someone bothering you?,rywun,SM,MS,rhywun,Oes yna rhywun yn dy boeni?
cy_ccg_test:00607,Roeddwn ni ar ddatblygu'r prosiect.,We were on developing the project.,ddatblygu,SM,L,datblygu,Roeddwn ni ar datblygu'r prosiect.
cy_ccg_test:00780,Mae'r holl waith adeiladu yn dilyn yr holl waith caled gan aelodau Cymdeithas Gymreig Trevelin i werthu darnau o dir er mwyn ariannu'r prosiect.,All the building work follows all the hard work by members of the Welsh Trevelin Society to sell land to fund the project.,waith,SM,L,gwaith,Mae'r holl waith adeiladu yn dilyn yr holl gwaith caled gan aelodau Cymdeithas Gymreig Trevelin i werthu darnau o dir er mwyn ariannu'r prosiect.
cy_ccg_train:00930,Mae cadeirydd y blaid wedi rhoi ei farn y dylwn i barhau.,The chairman of the party has given his opinion that I should continue.,barhau,SM,L,parhau,Mae cadeirydd y blaid wedi rhoi ei farn y dylwn i parhau.
cy_ccg_train:01222,Colli cyfle euraidd – dyna farn Dyfodol i'r Iaith ar Gyllideb Llywodraeth Cymru.,,Llywodraeth,no_mutation,no_mutation,lywodraeth,Colli cyfle euraidd – dyna farn Dyfodol i'r Iaith ar Gyllideb lywodraeth Cymru.
cy_ccg_test:00161,Dyma'r plant a dorrodd y ffenestr.,These are the kids who broke the window.,dorrodd,SM,L,torrodd,Dyma'r plant a torrodd y ffenestr.
cy_ccg_train:01285,A ddylai fod yn ofynnol i blant gael eu holl brechiadau cyn y gallant fynd i'r ysgol?,,ddylai,SM,L,dylai,A dylai fod yn ofynnol i blant gael eu holl brechiadau cyn y gallant fynd i'r ysgol?
cy_ccg_train:01126,"Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion gwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis defnyddio'r Gymraeg yn cael eu trin â pharch.",,defnyddio,no_mutation,no_mutation,ddefnyddio,"Ynddo, mynnodd y mudiad bod Swyddfa'r Post yn codi arwyddion gwbl ddwyieithog, annog staff i wneud mwy o ddefnydd o'r Gymraeg gyda chymorth Swyddfa'r Post, bod ffurflenni Cymraeg mor amlwg ac mor hawdd i'w derbyn â rhai Saesneg, a bod cwsmeriaid sy'n dewis ddefnyddio'r Gymraeg yn cael eu trin â pharch."
cy_ccg_train:00321,"Mae targedau wedi eu gosod ar golegau sy'n hyfforddi athrawon i recriwtio siaradwyr Cymraeg am y tro cyntaf erioed, yn ôl gohebiaeth sydd wedi dod i law ymgyrchwyr iaith.","Colleges training teachers to recruit Welsh speakers for the first time have been set targets, according to correspondence received from language campaigners.",golegau,SM,L,colegau,"Mae targedau wedi eu gosod ar colegau sy'n hyfforddi athrawon i recriwtio siaradwyr Cymraeg am y tro cyntaf erioed, yn ôl gohebiaeth sydd wedi dod i law ymgyrchwyr iaith."
cy_ccg_train:00922,Wedi noson fawr peidiwch â cheisio coginio o dan ddylanwad alcohol.,After a big night don't try to cook under the influence of alcohol.,ddylanwad,SM,L,dylanwad,Wedi noson fawr peidiwch â cheisio coginio o dan dylanwad alcohol.
cy_ccg_train:00831,Ceir nifer fawr o gromlechi mewn rhannau o Rwsia.,There are a large number of domes in parts of Russia.,fawr,SM,MS,mawr,Ceir nifer mawr o gromlechi mewn rhannau o Rwsia.
cy_ccg_train:00737,Roedd pethau rhyngddo fe a Mam ddim wedi bod yn dda ers amser.,Things between him and Mum hadn't been good for a while.,bod,no_mutation,no_mutation,fod,Roedd pethau rhyngddo fe a Mam ddim wedi fod yn dda ers amser.
cy_ccg_test:00723,"Mae'r gwaith wedi hen fynd, ynghyd â'r gofeb, mae'n debyg.","The work is probably gone, along with the memorial.",gofeb,SM,MS,cofeb,"Mae'r gwaith wedi hen fynd, ynghyd â'r cofeb, mae'n debyg."
cy_ccg_train:00942,Hwynt yw ein harglwyddi — ein duwiau a ddylaswn ddweud.,They are our lords - our gods I should say.,ddweud,SM,MS,dweud,Hwynt yw ein harglwyddi — ein duwiau a ddylaswn dweud.
cy_ccg_dev:00302,"Ar ôl buddsoddiad o £16.5m mae "" neuadd breswyl enwocaf Cymru "" yn cynnig llety en-suite newydd sbon ar gyfer hyd at 200 o fyfyrwyr – ac mae rhai o ystafelloedd mwyaf adnabyddus y Neuadd, y Lolfa Fawr, y Lolfa Fach a'r Ystafelloedd Cyffredin Hŷn ac Iau wedi eu gweddnewid.","After a £ 16.5m investment ""Wales's most famous hall of residence"" offers brand new en-suite accommodation for up to 200 students - and some of the Hall's most well-known rooms, the Grand Lounge, the Little Lounge and Senior and Junior Common Rooms transformed.",rhai,no_mutation,no_mutation,rai,"Ar ôl buddsoddiad o £16.5m mae "" neuadd breswyl enwocaf Cymru "" yn cynnig llety en-suite newydd sbon ar gyfer hyd at 200 o fyfyrwyr – ac mae rai o ystafelloedd mwyaf adnabyddus y Neuadd, y Lolfa Fawr, y Lolfa Fach a'r Ystafelloedd Cyffredin Hŷn ac Iau wedi eu gweddnewid."
cy_ccg_train:01023,"Mae'n gyfle gwych i leisiau newydd roi cynnig ar ohebu, ac i newyddiadurwyr profiadol gael cefnogaeth i fynd ar ôl y stori fawr yna.","It's a great opportunity for new voices to try reporting, and for experienced journalists to get support to chase that big story.",gyfle,SM,MS,cyfle,"Mae'n cyfle gwych i leisiau newydd roi cynnig ar ohebu, ac i newyddiadurwyr profiadol gael cefnogaeth i fynd ar ôl y stori fawr yna."
cy_ccg_dev:00381,"Nid ydym wedi mynd ati i gyhoeddi cân ""Geltaidd"" draddodiadol.","We have not set about publishing a traditional ""Celtic"" song.",Geltaidd,SM,MS,Celtaidd,"Nid ydym wedi mynd ati i gyhoeddi cân ""Celtaidd"" draddodiadol."
cy_ccg_train:00792,"Os bydd 500 o bobl yn cymryd rhan yn yr ymgyrch 500 Calon, bydd yn codi o leiaf £50,000 ar gyfer gofal diwedd oes ar draws Gogledd-Orllewin Cymru.","If 500 people take part in the 500 Hearts campaign, it will raise at least £50,000 for end-of-life care across North-West Wales.",gyfer,SM,L,cyfer,"Os bydd 500 o bobl yn cymryd rhan yn yr ymgyrch 500 Calon, bydd yn codi o leiaf £50,000 ar cyfer gofal diwedd oes ar draws Gogledd-Orllewin Cymru."
cy_ccg_train:01144,"Ond, yn y gaeaf, gall llethrau uchaf y llwybr fod yn beryglus iawn.",,beryglus,SM,MS,peryglus,"Ond, yn y gaeaf, gall llethrau uchaf y llwybr fod yn peryglus iawn."
cy_ccg_train:01025,Dyna leoliad Darren pan dynnodd o'r lluniau yma wrth iddi fachlud ar 9 Awst.,That's Darren's location when he took these photos as the sun set on 9 August.,fachlud,SM,MS,machlud,Dyna leoliad Darren pan dynnodd o'r lluniau yma wrth iddi machlud ar 9 Awst.
cy_ccg_train:00657,Pam na wnei di roi pentwr o gerrig yn fan 'na?,Why don't you put a pile of stones there?,fan,SM,MS,man,Pam na wnei di roi pentwr o gerrig yn man 'na?
cy_ccg_test:00133,Cipiwyd y castell gan gefnogwyr Owain Glyndŵr yn ystod gwrthryfel y tywysog.,Owain Glyndwr's supporters captured the castle during the prince's rebellion.,gefnogwyr,SM,L,cefnogwyr,Cipiwyd y castell gan cefnogwyr Owain Glyndŵr yn ystod gwrthryfel y tywysog.
cy_ccg_dev:00071,"Gyfeillion, rwyf wedi gweithio i Lywodraeth Cymru!","Friends, I've worked for the Welsh Government!",Cymru,no_mutation,no_mutation,Gymru,"Gyfeillion, rwyf wedi gweithio i Lywodraeth Gymru!"
cy_ccg_test:00256,Rydym fel rhanbarth yn ceisio cyfarfod yn fisol.,We as a region try to meet monthly.,ceisio,no_mutation,no_mutation,geisio,Rydym fel rhanbarth yn geisio cyfarfod yn fisol.
cy_ccg_test:00795,"Rydym yn aml yn clywed am yr ""argyfwng tai"" ac mae wedi dod yn gyffredin i feddwl mai'r ateb i'r broblem eang a chymhleth hon yw ""mae angen i ni adeiladu mwy o dai"".","We often hear about the ""housing crisis"" and it has become commonplace to think that the solution to this broad and complex problem is ""we need to build more houses"".",mai,no_mutation,no_mutation,fai,"Rydym yn aml yn clywed am yr ""argyfwng tai"" ac mae wedi dod yn gyffredin i feddwl fai'r ateb i'r broblem eang a chymhleth hon yw ""mae angen i ni adeiladu mwy o dai""."
cy_ccg_test:00421,Mae e'n fwy tal na thi.,He is taller than you.,fwy,SM,MS,mwy,Mae e'n mwy tal na thi.
cy_ccg_train:00186,"Er y bydd aelod academaidd uwch o'r staff yn goruchwylio rhywfaint arnoch, mae hunanddisgyblaeth, cymhelliant a bod yn drefnus yn elfennau hanfodol i gwblhau rhaglen ymchwil.","Although you will have some senior academic staff supervision, self-discipline, motivation and organization are essential components of completing a research program.",bod,no_mutation,no_mutation,fod,"Er y bydd aelod academaidd uwch o'r staff yn goruchwylio rhywfaint arnoch, mae hunanddisgyblaeth, cymhelliant a fod yn drefnus yn elfennau hanfodol i gwblhau rhaglen ymchwil."
cy_ccg_test:00200,Yn ddigon naturiol mae bwyta yn rhan bwysig o bob gwyliau a phob taith tramor.,Naturally eating is an important part of every holiday and every overseas trip.,bwysig,SM,MS,pwysig,Yn ddigon naturiol mae bwyta yn rhan pwysig o bob gwyliau a phob taith tramor.
cy_ccg_dev:00325,Diolch am eich gwaith caled yn cymryd cofnodion tywydd dros y wythnosau diwethaf.,Thank you for your hard work taking weather records over the last few weeks.,cymryd,no_mutation,no_mutation,gymryd,Diolch am eich gwaith caled yn gymryd cofnodion tywydd dros y wythnosau diwethaf.
cy_ccg_test:00779,"Mae'r gwaith yn parhau ar ddwy ystafell ddosbarth arall, a fydd yn agor yn fuan.","Work is continuing on two more classrooms, which will open soon.",gwaith,no_mutation,no_mutation,waith,"Mae'r waith yn parhau ar ddwy ystafell ddosbarth arall, a fydd yn agor yn fuan."
cy_ccg_train:00526,"Er hynny, nid yr un fu hanes y ddwy wlad.","However, the history of the two countries has not been the same.",fu,SM,MS,bu,"Er hynny, nid yr un bu hanes y ddwy wlad."
cy_ccg_train:00016,"Mae mudiad iaith yn dweud nad oes gyda nhw ""ffydd"" ym mhennaeth Cymwysterau Cymru yn dilyn cyfarfod gyda fe, gan nad yw wedi addo dileu Cymraeg ail iaith, er gwaethaf cyfres o addewidion polisi gan Lywodraeth Cymru.","A language organization says they have no ""faith"" in the head of Qualifications Wales following a meeting with him, as he has not promised to abolish Welsh second language, despite a series of policy promises from the Welsh Government.",Cymru,no_mutation,no_mutation,Gymru,"Mae mudiad iaith yn dweud nad oes gyda nhw ""ffydd"" ym mhennaeth Cymwysterau Cymru yn dilyn cyfarfod gyda fe, gan nad yw wedi addo dileu Cymraeg ail iaith, er gwaethaf cyfres o addewidion polisi gan Lywodraeth Gymru."
cy_ccg_train:00576,Mae'r darlithwyr a'r tiwtorialau byw ar-lein a gynhelir unwaith yr wythnos yn help mawr i'ch paratoi ar gyfer yr aseiniadau.,The lecturers and live online tutorials held once a week are a great help in preparing you for the assignments.,mawr,no_mutation,no_mutation,fawr,Mae'r darlithwyr a'r tiwtorialau byw ar-lein a gynhelir unwaith yr wythnos yn help fawr i'ch paratoi ar gyfer yr aseiniadau.
cy_ccg_dev:00310,"Mae'r rhybudd cyntaf yn dod i ben am 6 o'r gloch heno (nos Sadwrn, Ionawr 2), ond fe fydd yr ail rybudd mewn grym am weddill y dydd.","The first warning ends at 6 o'clock tonight (Saturday, January 2), but the second alert will remain in force for the rest of the day.",ben,SM,L,pen,"Mae'r rhybudd cyntaf yn dod i pen am 6 o'r gloch heno (nos Sadwrn, Ionawr 2), ond fe fydd yr ail rybudd mewn grym am weddill y dydd."
cy_ccg_test:00925,"O bob punt yng nghyllideb Cyngor Gwynedd, mae'r mwyafrif yn dod o grant blynyddol gan Lywodraeth Cymru, gyda'r gweddill yn dod o'r Dreth Cyngor.","Of every pound in Gwynedd Council's budget, the majority comes from an annual grant from the Welsh Government, with the remainder coming from Council Tax.",Cymru,no_mutation,no_mutation,Gymru,"O bob punt yng nghyllideb Cyngor Gwynedd, mae'r mwyafrif yn dod o grant blynyddol gan Lywodraeth Gymru, gyda'r gweddill yn dod o'r Dreth Cyngor."
cy_ccg_train:01153,Gyda dros hanner miliwn o bobl yn ymweld â'r copa bob blwyddyn mae'r meysydd parcio'n gallu bod yn llawn erbyn 7.00y bore!,,bobl,SM,L,pobl,Gyda dros hanner miliwn o pobl yn ymweld â'r copa bob blwyddyn mae'r meysydd parcio'n gallu bod yn llawn erbyn 7.00y bore!
cy_ccg_test:00340,Gellir hefyd chwilio am wybodaeth am yr holl lyfrau sydd ar gael ar gronfa ddata'r Cyngor Llyfrau ar y we trwy edrych ar ein safle.,You can also search for information on all the books available on the Books Council's database on the web by looking at our site.,ddata,SM,MS,data,Gellir hefyd chwilio am wybodaeth am yr holl lyfrau sydd ar gael ar gronfa data'r Cyngor Llyfrau ar y we trwy edrych ar ein safle.
cy_ccg_train:01063,"Mae yna son mai Bodellog oedd yr hen enw, ond efallai bod hwnnw'n enw ar ardal rhwng Afon Gwyrfai a Dinas ym mhlwyf Llanwnda.","There is talk that the old name was Bodellog, but that may be the name of an area between Afon Gwyrfai and Dinas in the parish of Llanwnda.",bod,no_mutation,no_mutation,fod,"Mae yna son mai Bodellog oedd yr hen enw, ond efallai fod hwnnw'n enw ar ardal rhwng Afon Gwyrfai a Dinas ym mhlwyf Llanwnda."
cy_ccg_train:00485,Mae'r awdur yn dangos na fu ganddo erioed ofn dweud ei ddweud.,The author shows that he was never afraid to speak his mind.,ddweud,SM,L,dweud,Mae'r awdur yn dangos na fu ganddo erioed ofn dweud ei dweud.
cy_ccg_train:00570,Mae cyfranogwyr yn astudio trwy raglen dysgu o bell â chymorth a does dim angen cymryd amser i ffwrdd o'r gwaith.,Participants study through a supported distance learning program and there is no need to take time off work.,bell,SM,L,pell,Mae cyfranogwyr yn astudio trwy raglen dysgu o pell â chymorth a does dim angen cymryd amser i ffwrdd o'r gwaith.
cy_ccg_train:01062,"Y Bontnewydd yw'r ffurf cywir o ysgrifennu'r enw yn gywir, treigliad o Pontnewydd.","Y Bontnewydd is the correct form of writing the name correctly, a mutation of Pontnewydd.",gywir,SM,MS,cywir,"Y Bontnewydd yw'r ffurf cywir o ysgrifennu'r enw yn cywir, treigliad o Pontnewydd."
cy_ccg_train:00052,"Mewn ymateb i bryderon Gruffydd Aled Williams, mae Prifysgol Aberystwyth wedi cadarnhau ei bod yn fwriad i lenwi'r Gadair wag.","In response to Gruffydd Aled Williams' concerns, Aberystwyth University has confirmed its intention to fill the vacant Chair.",fwriad,SM,MS,bwriad,"Mewn ymateb i bryderon Gruffydd Aled Williams, mae Prifysgol Aberystwyth wedi cadarnhau ei bod yn bwriad i lenwi'r Gadair wag."
cy_ccg_train:01307,"Fy nadl i wrth i ni ofyn wrth bobl fod yn rhan o'r drafodaeth am ddyfodol cyfansoddiadol Cymru ydi, pan na fyddwch chi eisiau edrych ar na thrafod ""ydan ni'n gallu 'neud pethau'n well yma yng Nghymru?""",,bobl,SM,L,pobl,"Fy nadl i wrth i ni ofyn wrth pobl fod yn rhan o'r drafodaeth am ddyfodol cyfansoddiadol Cymru ydi, pan na fyddwch chi eisiau edrych ar na thrafod ""ydan ni'n gallu 'neud pethau'n well yma yng Nghymru?"""
cy_ccg_test:00217,Roedd pobman yn dawel ar ôl i'r plant fynd i'r gwely.,Everywhere was quiet after the kids went to bed.,plant,no_mutation,no_mutation,blant,Roedd pobman yn dawel ar ôl i'r blant fynd i'r gwely.
cy_ccg_test:00729,nid yw'n rhywbeth newydd fod yn cael ei dargedu gan hacwyr bob dydd.,it is not something new being targeted by hackers every day.,cael,no_mutation,no_mutation,gael,nid yw'n rhywbeth newydd fod yn gael ei dargedu gan hacwyr bob dydd.
cy_ccg_test:00529,Nid yw'r cwcis yn casglu gwybodaeth bersonol ac ni chaiff unrhyw wybodaeth bersonol ei hanfon i drydydd parti.,The cookies do not collect personal information and no personal information is sent to third parties.,bersonol,SM,MS,personol,Nid yw'r cwcis yn casglu gwybodaeth personol ac ni chaiff unrhyw wybodaeth bersonol ei hanfon i drydydd parti.
cy_ccg_train:00879,Roeddwn i eisiau i bethau fod fel ro'n nhw cyn i Dad adael.,I wanted things to be the way they were before Dad left.,Dad,SM,L,Tad,Roeddwn i eisiau i bethau fod fel ro'n nhw cyn i Tad adael.
cy_ccg_train:00468,Roedd yr Uplands yn un o ardaloedd mwyaf llewyrchus y ddinas a gadwodd Thomas i ffwrdd o ardaloedd diwydiannol y ddinas.,The Uplands was one of the most prosperous areas of the city which kept Thomas away from the industrial areas of the city.,ddinas,SM,MS,dinas,Roedd yr Uplands yn un o ardaloedd mwyaf llewyrchus y ddinas a gadwodd Thomas i ffwrdd o ardaloedd diwydiannol y dinas.
cy_ccg_train:01266,"Bydd Wrecsam yn gartref i dros 1,000 o weithgareddau a digwyddiadau o bob math o 2-9 Awst.",,gartref,SM,MS,cartref,"Bydd Wrecsam yn cartref i dros 1,000 o weithgareddau a digwyddiadau o bob math o 2-9 Awst."
cy_ccg_test:00637,Ni fydd ef ddim yn dringo.,He just won't climb.,fydd,SM,L,bydd,Ni bydd ef ddim yn dringo.
cy_ccg_train:00877,Cawsom hamdden i edrych o'n cwmpas cyn i'r gwasanaeth ddechrau.,We had leisure to look around us before the service began.,ddechrau,SM,MS,dechrau,Cawsom hamdden i edrych o'n cwmpas cyn i'r gwasanaeth dechrau.
